Assembly name,version,Species,Common name,Ploidy=Chr,haplotype,ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,genus,family,order,class,phylum,group name,Link (FTP),Publication (PUBMED ID)
ASM1338965v1,nan,Chlamydomonas reinhardtii,nan,2n=,haploid,GCA_013389655.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013389655.1/,Chromosome,Oxford Nanopore,SMARTdenovo v. 1; canu v. 2,111112089,6779811,7,21,nan,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,green algae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/389/655/GCA_013389655.1_ASM1338965v1/GCA_013389655.1_ASM1338965v1_genomic.fna.gz,na
ASM3464218v1,nan,Chlorella sorokiniana,nan,2n=,haploid,GCA_034642185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034642185.1/,Contig,Illumina NextSeq; PacBio Sequel,HGAP v. 4.0; FALCON v. 0.5,54582483,3942903,6,17,nan,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,green algae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/185/GCA_034642185.1_ASM3464218v1/GCA_034642185.1_ASM3464218v1_genomic.fna.gz,na
ASM3785540v1,nan,Chlorella vulgaris,nan,2n=,haploid,GCA_037855405.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037855405.1/,Contig,PacBio Sequel IIe,SMRTlink v. 11.0.0.146107,40658414,1011039,14,91,nan,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,green algae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/855/405/GCA_037855405.1_ASM3785540v1/GCA_037855405.1_ASM3785540v1_genomic.fna.gz,na
ASM4528107v1,nan,Chrysojasminum fruticans,nan,2n=,haploid,GCA_045281075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_045281075.1/,Contig,PacBio,Hifiasm v. 15.5,1452513564,3050761,78,3509,nan,Chrysojasminum,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/281/075/GCA_045281075.1_ASM4528107v1/GCA_045281075.1_ASM4528107v1_genomic.fna.gz,38626764
ASM1934343v1,nan,Corylus heterophylla,nan,2n=,haploid,GCA_019343435.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_019343435.1/,Scaffold,PacBio Sequel,Canu v. Apr-2020,346499009,2025119,53,382,nan,Corylus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/343/435/GCA_019343435.1_ASM1934343v1/GCA_019343435.1_ASM1934343v1_genomic.fna.gz,na
CJA_r1.0,nan,Cryptomeria japonica,Japanese cedar,2n=,haploid,GCA_027924625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_027924625.1/,Contig,PacBio SequelII,Hifiasm v. 0.16.1,9239540489,8324041,295,2741,nan,Cryptomeria,Cupressaceae,Cupressales,Pinopsida,Streptophyta,seed plants,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/924/625/GCA_027924625.1_CJA_r1.0/GCA_027924625.1_CJA_r1.0_genomic.fna.gz,na
daCynCard1.0.a,nan,Cynara cardunculus,cardoon,2n=,alternate-pseudohaplotype,GCA_043228895.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043228895.1/,Scaffold,Illumina NovaSeq; PacBio Sequel; Dovetail Omni-C,HiFiasm v. 0.19.9-r616; SALSA v. 2; YAGCloser v. https://github.com/merlyescalona/yagcloser (23d4fe9); Rapid curation v. https://gitlab.com/wtsi-grit/rapid-curation (commit 4ddca450),858000988,30146452,11,273,nan,Cynara,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/228/895/GCA_043228895.1_daCynCard1.0.a/GCA_043228895.1_daCynCard1.0.a_genomic.fna.gz,na
ucDunPrim2.2,nan,Dunaliella primolecta,nan,2n=,haploid,GCA_914767535.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_914767535.2/,Chromosome,PacBio Illumina Arima,various,210912326,2890256,21,122,nan,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,green algae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/914/767/535/GCA_914767535.2_ucDunPrim2.2/GCA_914767535.2_ucDunPrim2.2_genomic.fna.gz,na
Assembly_AlgeDT,nan,Dunaliella tertiolecta,nan,2n=,haploid,GCA_046862625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046862625.1/,Scaffold,PacBio Sequel,IPA HiFi assembler v. v1.3.0 FEB-2023,214072071,2826935,23,312,nan,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,green algae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/862/625/GCA_046862625.1_Assembly_AlgeDT/GCA_046862625.1_Assembly_AlgeDT_genomic.fna.gz,na
FCA_r2.3,nan,Ficus carica,common fig,2n=,haploid,GCA_042847195.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_042847195.1/,Chromosome,PacBio Sequel,FALCON-integrate v. 1.8.8,316264485,2043694,48,264,nan,Ficus,Moraceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/847/195/GCA_042847195.1_FCA_r2.3/GCA_042847195.1_FCA_r2.3_genomic.fna.gz,na
ASM2363800v1,nan,Forsythia suspensa,nan,2n=,haploid,GCA_023638005.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023638005.1/,Chromosome,Illumina HiSeq; Oxford Nanopore,WTDBG2 v. 2.5; smartdenovo v. 1.0.0,737445504,7279884,34,1236,nan,Forsythia,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/638/005/GCA_023638005.1_ASM2363800v1/GCA_023638005.1_ASM2363800v1_genomic.fna.gz,na
ASM2569846v1,nan,Gossypium longicalyx,nan,2n=,haploid,GCA_025698465.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025698465.1/,Chromosome,Oxford Nanopore; Illumina,Canu v. 1.3,1198534575,20138000,20,148,nan,Gossypium,Malvaceae,Malvales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/698/465/GCA_025698465.1_ASM2569846v1/GCA_025698465.1_ASM2569846v1_genomic.fna.gz,na
ddHypAndr1.1,nan,Hypericum androsaemum,nan,2n=,haploid,GCA_963995505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963995505.1/,Chromosome,PacBio Arima2,various,384499357,2899722,40,252,nan,Hypericum,Hypericaceae,Malpighiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/995/505/GCA_963995505.1_ddHypAndr1.1/GCA_963995505.1_ddHypAndr1.1_genomic.fna.gz,na
drIngLaur1.1 alternate haplotype,nan,Inga laurina,nan,2n=,alternate-pseudohaplotype,GCA_963855915.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963855915.1/,Scaffold,PacBio Arima2,various,2799006782,1948448,430,8199,nan,Inga,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/855/915/GCA_963855915.1_drIngLaur1.1_alternate_haplotype/GCA_963855915.1_drIngLaur1.1_alternate_haplotype_genomic.fna.gz,na
lsIriMacr1.0.hap1,nan,Iris macrosiphon,nan,2n=,haploid,GCA_036927795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036927795.1/,Scaffold,PacBio Sequel IIe; Illumina NovaSeq 6000; Dovetail OmniC,HiFiasm v. 0.19.4-r575; SALSA v. 2; Rapid Curation v. https://gitlab.com/wtsi-grit/rapid-curation (commit 4ddca450),4329582449,1642552,749,6195,nan,Iris,Iridaceae,Asparagales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/927/795/GCA_036927795.1_lsIriMacr1.0.hap1/GCA_036927795.1_lsIriMacr1.0.hap1_genomic.fna.gz,na
daLamAmpl1.hap1.1,nan,Lamium amplexicaule,henbit deadnettle,2n=,haploid,GCA_964059565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964059565.1/,Chromosome,PacBio Arima2,various,521558201,5129000,30,414,nan,Lamium,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/059/565/GCA_964059565.1_daLamAmpl1.hap1.1/GCA_964059565.1_daLamAmpl1.hap1.1_genomic.fna.gz,na
ddLinParr1.0.a,nan,Linanthus parryae,sandblossoms,2n=,alternate-pseudohaplotype,GCA_023055565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023055565.1/,Scaffold,PacBio Sequel II; PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq,HiFiasm v. 0.16.1-r375; purge_dups v. 1.2.5; SALSA2 v. 2,1755711046,10572045,53,730,nan,Linanthus,Polemoniaceae,Ericales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/055/565/GCA_023055565.1_ddLinParr1.0.a/GCA_023055565.1_ddLinParr1.0.a_genomic.fna.gz,36107789
ASM4686482v1,nan,Lolium multiflorum,Italian ryegrass,2n=,haploid,GCA_046864825.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046864825.1/,Chromosome,PacBio HiFi,Hifiasm v. 0.19.8-r603,2373435008,1118257,579,12642,nan,Lolium,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/864/825/GCA_046864825.1_ASM4686482v1/GCA_046864825.1_ASM4686482v1_genomic.fna.gz,na
ASM4193737v1,nan,Malus coronaria,sweet crabapple,2n=,haploid,GCA_041937375.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041937375.1/,Chromosome,PacBio Sequel,Hifiasm v. 10.16.1,666290126,1962300,114,626,nan,Malus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/937/375/GCA_041937375.1_ASM4193737v1/GCA_041937375.1_ASM4193737v1_genomic.fna.gz,39185728
ASM4722601v1,nan,Malus orientalis,nan,2n=,haploid,GCA_047226015.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_047226015.1/,Chromosome,PacBio Sequel,HiFiasm v. 0.15_r334,667081784,32330179,9,432,nan,Malus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/226/015/GCA_047226015.1_ASM4722601v1/GCA_047226015.1_ASM4722601v1_genomic.fna.gz,na
drOemCera1_a1.0,nan,Oemleria cerasiformis,Oregon plum,2n=,alternate-pseudohaplotype,GCA_037349295.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037349295.1/,Contig,PacBio Sequel II,hifiasm v. 0.19.4; purge_dups v. 1.2.5,314336089,3285073,22,324,nan,Oemleria,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/349/295/GCA_037349295.1_drOemCera1_a1.0/GCA_037349295.1_drOemCera1_a1.0_genomic.fna.gz,na
ASM1011999v1,nan,Papaver somniferum,opium poppy,2n=,haploid,GCA_010119995.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_010119995.1/,Chromosome,Illumina,Phase Genomics' Proximo Hi-C genome scaffolding platform v. 2019; Juicebox v. 1.9.1,2636327527,1838815,415,9646,nan,Papaver,Papaveraceae,Ranunculales,Magnoliopsida,Streptophyta,flowering plants,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/119/995/GCA_010119995.1_ASM1011999v1/GCA_010119995.1_ASM1011999v1_genomic.fna.gz,na
daPenSemp1.hap2.1,nan,Pentaglottis sempervirens,nan,2n=,haploid,GCA_964197815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964197815.1/,Scaffold,PacBio Arima2,various,955510188,14352502,19,330,nan,Pentaglottis,Boraginaceae,Boraginales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/197/815/GCA_964197815.1_daPenSemp1.hap2.1/GCA_964197815.1_daPenSemp1.hap2.1_genomic.fna.gz,na
laPhyTorr1.0.p,nan,Phyllospadix torreyi,nan,2n=,haploid,GCA_043789395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043789395.1/,Scaffold,Illumina NovaSeq; PacBio Sequel; Dovetail Omni-C,HiFiasm v. 0.19.8-r603; SALSA v. 2; YAGCloser v. https://github.com/merlyescalona/yagcloser (23d4fe9); Rapid curation v. https://gitlab.com/wtsi-grit/rapid-curation (commit 4ddca450),447795845,21570782,8,104,nan,Phyllospadix,Zosteraceae,Alismatales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/789/395/GCA_043789395.1_laPhyTorr1.0.p/GCA_043789395.1_laPhyTorr1.0.p_genomic.fna.gz,na
CAAS_Psat_ZW6_1.0,nan,Pisum sativum,garden pea,2n=,haploid,GCA_024323335.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_024323335.2/,Chromosome,PacBio Sequel,Canu v. 1.8; Pilon v. 1.23; PurgeHaplotigs v. 1.1.1; ARCS v. 1.0.4; LINKS v. 1.8.6; BioNano Solve v. 3.4; Juicer v. 1.5.6; ALLMAPS v. 1.0,3785824465,8969346,119,2392,nan,Pisum,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/323/335/GCA_024323335.2_CAAS_Psat_ZW6_1.0/GCA_024323335.2_CAAS_Psat_ZW6_1.0_genomic.fna.gz,na
PlestMale_1.0,nan,Pleodorina starrii,nan,2n=,haploid,GCA_030267485.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030267485.1/,Contig,illumina NovaSeq; PacBio Sequel II,NextDenovo v. 2.4.0,134838970,1064554,37,242,nan,Pleodorina,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,green algae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/485/GCA_030267485.1_PlestMale_1.0/GCA_030267485.1_PlestMale_1.0_genomic.fna.gz,37296191
dcPolAvic1.1 alternate haplotype,nan,Polygonum aviculare,nan,2n=,alternate-pseudohaplotype,GCA_934047395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_934047395.1/,Scaffold,nan,nan,360384589,10315719,11,276,nan,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/934/047/395/GCA_934047395.1_dcPolAvic1.1_alternate_haplotype/GCA_934047395.1_dcPolAvic1.1_alternate_haplotype_genomic.fna.gz,na
ASM3577253v1,nan,Prototheca wickerhamii,nan,2n=,haploid,GCA_035772535.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_035772535.1/,Contig,Illumina NovaSeq; Oxford Nanopore,Flye v. 2.5,18371910,1049213,7,46,nan,Prototheca,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,green algae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/772/535/GCA_035772535.1_ASM3577253v1/GCA_035772535.1_ASM3577253v1_genomic.fna.gz,na
ASM4143016v1,nan,Prototheca zopfii,nan,2n=,haploid,GCA_041430165.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041430165.1/,Contig,PacBio Sequel,hifiasm v. 0.7,31323842,1261121,9,80,nan,Prototheca,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,green algae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/430/165/GCA_041430165.1_ASM4143016v1/GCA_041430165.1_ASM4143016v1_genomic.fna.gz,38940543
pruArmRojPasHapORARED,nan,Prunus armeniaca,apricot,2n=,haploid,GCA_903114435.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_903114435.1/,Contig,nan,nan,215239966,25508227,4,104,nan,Prunus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/114/435/GCA_903114435.1_pruArmRojPasHapORARED/GCA_903114435.1_pruArmRojPasHapORARED_genomic.fna.gz,na
ASM3363506v1,nan,Prunus mira,nan,2n=,haploid,GCA_033635065.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033635065.1/,Chromosome,PacBio Sequel,NextDenovo v. 2.0,242197747,2422999,27,440,nan,Prunus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/635/065/GCA_033635065.1_ASM3363506v1/GCA_033635065.1_ASM3363506v1_genomic.fna.gz,34314676
ZGL_assembly,nan,Prunus salicina,su-momo,2n=,haploid,GCA_020226455.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020226455.1/,Chromosome,PacBio Sequel,FALCON v. 0.4,267116113,1539999,51,339,nan,Prunus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/226/455/GCA_020226455.1_ZGL_assembly/GCA_020226455.1_ZGL_assembly_genomic.fna.gz,34593767
drRosAgre1.hap1.1,nan,Rosa agrestis,field briar,2n=,haploid,GCA_964662855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964662855.1/,Chromosome,PacBio Arima2,various,1939583862,5460888,113,849,nan,Rosa,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/662/855/GCA_964662855.1_drRosAgre1.hap1.1/GCA_964662855.1_drRosAgre1.hap1.1_genomic.fna.gz,na
drRosCani1.hap1.1,nan,Rosa canina,dog briar,2n=,haploid,GCA_965119325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965119325.1/,Chromosome,PacBio Arima2,various,1925601615,6183938,105,804,nan,Rosa,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/119/325/GCA_965119325.1_drRosCani1.hap1.1/GCA_965119325.1_drRosCani1.hap1.1_genomic.fna.gz,na
FNU-M-1-Hap-b,nan,Salix dunnii,nan,2n=,haploid,GCA_040801895.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040801895.1/,Complete Genome,PacBio Sequel,hifiasm v. 0.16.1-r375,323425075,17955116,8,18,nan,Salix,Salicaceae,Malpighiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/801/895/GCA_040801895.1_FNU-M-1-Hap-b/GCA_040801895.1_FNU-M-1-Hap-b_genomic.fna.gz,na
drUrtDioi1.1,nan,Urtica dioica,great nettle,2n=,haploid,GCA_964188135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964188135.1/,Chromosome,PacBio Arima2,various,617943673,2081532,70,3688,nan,Urtica,Urticaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/188/135/GCA_964188135.1_drUrtDioi1.1/GCA_964188135.1_drUrtDioi1.1_genomic.fna.gz,na
ddVacMemb1_p1.1,nan,Vaccinium membranaceum,nan,2n=,haploid,GCA_046127725.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046127725.1/,Contig,Revio,hifiasm v. 0.19.4; purge_dups v. 1.2.5,611831383,4728828,39,1447,nan,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/127/725/GCA_046127725.1_ddVacMemb1_p1.1/GCA_046127725.1_ddVacMemb1_p1.1_genomic.fna.gz,na
