Assembly name,version,Species name,Common name,Ploidy=Chr,haplotype,NCBI GenBank ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,Link (FTP),Publication (PUBMED ID)
ASM2855139v1,,Casuarina glauca,swamp oak,2n=,haploid,GCA_028551395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_028551395.1/,Chromosome,PacBio Sequel,FALCON v. 1.2.4,296399783,1018335,80,512,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/551/395/GCA_028551395.1_ASM2855139v1/GCA_028551395.1_ASM2855139v1_genomic.fna.gz,na
ASM2386411v1,,Camelina hispida,NA,2n=,haploid,GCA_023864115.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023864115.1/,Chromosome,ONT; PacBio; Illumina,CANU v. 1.8,339572818,1021820,88,789,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/864/115/GCA_023864115.1_ASM2386411v1/GCA_023864115.1_ASM2386411v1_genomic.fna.gz,na
Bathycoccus_UST710,,Bathycoccus sp. UST710,NA,2n=,haploid,GCA_041315385.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041315385.1/,Complete Genome,Illumina NovaSeq; PacBio Sequel,Flye v. 2.9.1,15339837,1022868,7,18,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/315/385/GCA_041315385.1_Bathycoccus_UST710/GCA_041315385.1_Bathycoccus_UST710_genomic.fna.gz,39141834
ASM1310374v1,,Gardenia jasminoides,NA,2n=,haploid,GCA_013103745.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013103745.1/,Chromosome,Oxford Nanopore  Hi-C,Canu v. 1.8,534025156,1028321,134,938,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/103/745/GCA_013103745.1_ASM1310374v1/GCA_013103745.1_ASM1310374v1_genomic.fna.gz,na
ASM2540343v1,,Artocarpus heterophyllus,jackfruit,2n=,haploid,GCA_025403435.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025403435.1/,Chromosome,PacBio; Illumina HiSeq,FALCON v. v0.3.0,982839884,1029699,286,1633,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/403/435/GCA_025403435.1_ASM2540343v1/GCA_025403435.1_ASM2540343v1_genomic.fna.gz,na
Zm_PHB47_v1,,Zea mays,maize,2n=,haploid,GCA_019096015.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_019096015.1/,Chromosome,PacBio Sequel,MECAT v. 1.2,2126513527,1035033,568,3841,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/096/015/GCA_019096015.1_Zm_PHB47_v1/GCA_019096015.1_Zm_PHB47_v1_genomic.fna.gz,na
ASM2550650v1,,Flaveria sonorensis,NA,2n=,haploid,GCA_025506505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025506505.1/,Chromosome,PacBio; Illumina HiSeq,Canu v. 01-JAN-2020,1241894486,1035914,288,3833,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/506/505/GCA_025506505.1_ASM2550650v1/GCA_025506505.1_ASM2550650v1_genomic.fna.gz,32695130
csSphTene1.1,,Sphagnum tenellum,NA,2n=,haploid,GCA_963921925.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963921925.1/,Chromosome,PacBio Arima2,various,382671331,1037718,116,1018,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/921/925/GCA_963921925.1_csSphTene1.1/GCA_963921925.1_csSphTene1.1_genomic.fna.gz,na
ASM3287866v1,,Musa acuminata AAA Group,dessert banana,2n=,haploid,GCA_032878665.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_032878665.1/,Chromosome,PacBio RSII,Canu v. 2.1,1330979165,1037976,204,6423,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/878/665/GCA_032878665.1_ASM3287866v1/GCA_032878665.1_ASM3287866v1_genomic.fna.gz,na
ASM343084v1,,Xanthoceras sorbifolium,yellow-horn,2n=,haploid,GCA_003430845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003430845.1/,Chromosome,PacBio Sequel,FALCON v. JULY-2018,504309262,1044891,131,3035,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/430/845/GCA_003430845.1_ASM343084v1/GCA_003430845.1_ASM343084v1_genomic.fna.gz,na
ASM3577253v1,,Prototheca wickerhamii,NA,2n=,haploid,GCA_035772535.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_035772535.1/,Contig,Illumina NovaSeq; Oxford Nanopore,Flye v. 2.5,18371910,1049213,7,46,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/772/535/GCA_035772535.1_ASM3577253v1/GCA_035772535.1_ASM3577253v1_genomic.fna.gz,na
ASM4686236v1,,Cynodon dactylon,Bermuda grass,2n=,haploid,GCA_046862365.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046862365.1/,Chromosome,PacBio,FALCON v. 2.0,865952429,1050894,212,2402,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/862/365/GCA_046862365.1_ASM4686236v1/GCA_046862365.1_ASM4686236v1_genomic.fna.gz,na
ddVacViti1.1,,Vaccinium vitis-idaea,cowberry,2n=,haploid,GCA_963854785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963854785.1/,Chromosome,PacBio Arima2,various,516757157,1051952,152,1103,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/854/785/GCA_963854785.1_ddVacViti1.1/GCA_963854785.1_ddVacViti1.1_genomic.fna.gz,na
ddVacViti1.2,,Vaccinium vitis-idaea,cowberry,2n=,haploid,GCA_964341165.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964341165.1/,Chromosome,PacBio Arima2,various,513331493,1052000,151,988,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/341/165/GCA_964341165.1_ddVacViti1.2/GCA_964341165.1_ddVacViti1.2_genomic.fna.gz,na
MenthaSuaveolens85_v8,,Mentha suaveolens,applemint,2n=,haploid,GCA_041501505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041501505.1/,Chromosome,PacBio,FALCON v. JUN-2016,526267250,1062401,124,1186,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/501/505/GCA_041501505.1_MenthaSuaveolens85_v8/GCA_041501505.1_MenthaSuaveolens85_v8_genomic.fna.gz,na
PlestMale_1.0,,Pleodorina starrii,NA,2n=,haploid,GCA_030267485.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030267485.1/,Contig,illumina NovaSeq; PacBio Sequel II,NextDenovo v. 2.4.0,134838970,1064554,37,242,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/485/GCA_030267485.1_PlestMale_1.0/GCA_030267485.1_PlestMale_1.0_genomic.fna.gz,37296191
ddDraVern1.hap1.1,,Draba verna,NA,2n=,haploid,GCA_964234985.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964234985.1/,Chromosome,PacBio Arima2,various,1017635764,1067757,287,1950,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/234/985/GCA_964234985.1_ddDraVern1.hap1.1/GCA_964234985.1_ddDraVern1.hap1.1_genomic.fna.gz,na
ASM3693790v1,,Salvia rosmarinus,rosemary,2n=,haploid,GCA_036937905.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036937905.1/,Chromosome,Oxford Nanopore,hifiasm v. 0.12,1197602298,1067774,315,2149,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/937/905/GCA_036937905.1_ASM3693790v1/GCA_036937905.1_ASM3693790v1_genomic.fna.gz,38363812
Walnut 2.0,,Juglans regia,Persian walnut,2n=,haploid,GCA_001411555.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001411555.2/,Chromosome,Illumina HiSeq; Oxford Nanopore MinION; Illumina NovaSeq,MaSuRCA v. 3.2.1; HiRise v. 2018-04,572182264,1072962,146,25807,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/411/555/GCA_001411555.2_Walnut_2.0/GCA_001411555.2_Walnut_2.0_genomic.fna.gz,na
daSamNigr1.1 alternate haplotype,,Sambucus nigra,European elder,2n=,alternate-pseudohaplotype,GCA_949130505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_949130505.1/,Scaffold,PacBio Arima2,various,10747728903,1076846,2560,68033,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/130/505/GCA_949130505.1_daSamNigr1.1_alternate_haplotype/GCA_949130505.1_daSamNigr1.1_alternate_haplotype_genomic.fna.gz,na
ASM4323785v1,,Forsythia ovata,Korean forsythia,2n=,haploid,GCA_043237855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043237855.1/,Chromosome,Illumina NovaSeq; PacBio Sequel; Illumina HiSeq,FALCON v. 2.1.4,1108376499,1077681,323,1635,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/237/855/GCA_043237855.1_ASM4323785v1/GCA_043237855.1_ASM4323785v1_genomic.fna.gz,na
UCONN_Acsa_1.0,,Acer saccharum,sugar maple,2n=,haploid,GCA_030490815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030490815.1/,Chromosome,PacBio Sequel,FALCON-Unzip v. pb-assembly v0.0.6,625942429,1081516,165,1413,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/490/815/GCA_030490815.1_UCONN_Acsa_1.0/GCA_030490815.1_UCONN_Acsa_1.0_genomic.fna.gz,34967059
daLigVulg1.1 alternate haplotype,,Ligustrum vulgare,common privet,2n=,alternate-pseudohaplotype,GCA_963555715.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963555715.1/,Contig,PacBio Arima2,various,1326604524,1084440,347,4801,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/555/715/GCA_963555715.1_daLigVulg1.1_alternate_haplotype/GCA_963555715.1_daLigVulg1.1_alternate_haplotype_genomic.fna.gz,na
cbRhyTene4.1,,Rhynchostegiella tenella,NA,2n=,haploid,GCA_964340665.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964340665.1/,Chromosome,PacBio Arima2,various,316982184,1085708,89,495,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/340/665/GCA_964340665.1_cbRhyTene4.1/GCA_964340665.1_cbRhyTene4.1_genomic.fna.gz,na
ASM785969v1,,Chloropicon primus,NA,2n=,haploid,GCA_007859695.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_007859695.1/,Complete Genome,Illumina HiSeq; PacBio,Celera Assembler v. 8.3RC1; HGAP3 v. SMRT Portal 2.3.0; Ray v. 2.3.2-devel,17400691,1089399,6,20,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/859/695/GCA_007859695.1_ASM785969v1/GCA_007859695.1_ASM785969v1_genomic.fna.gz,na
Rabiosa unphased assembly,,Lolium multiflorum,Italian ryegrass,2n=,haploid,GCA_030979885.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030979885.1/,Chromosome,Oxford Nanopore,Canu v. 2.2,2461854246,1091600,677,4233,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/979/885/GCA_030979885.1_Rabiosa_unphased_assembly/GCA_030979885.1_Rabiosa_unphased_assembly_genomic.fna.gz,na
ASM2550651v1,,Flaveria trinervia,NA,2n=,haploid,GCA_025506515.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025506515.1/,Chromosome,PacBio; Illumina HiSeq,Canu v. 01-JAN-2020,1802989855,1095966,460,3650,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/506/515/GCA_025506515.1_ASM2550651v1/GCA_025506515.1_ASM2550651v1_genomic.fna.gz,32695130
Genome assembly of Haberlea rhodopensis,,Haberlea rhodopensis,NA,2n=,haploid,GCA_907163345.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_907163345.1/,Scaffold,Pacbio Sequel,CANU+SALSA,1269374720,1096407,324,4167,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/907/163/345/GCA_907163345.1_Genome_assembly_of_Haberlea_rhodopensis/GCA_907163345.1_Genome_assembly_of_Haberlea_rhodopensis_genomic.fna.gz,na
drGerRotu1.1,,Geranium rotundifolium,NA,2n=,haploid,GCA_963920655.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963920655.1/,Chromosome,PacBio Arima2,various,496856260,1100351,133,1194,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/920/655/GCA_963920655.1_drGerRotu1.1/GCA_963920655.1_drGerRotu1.1_genomic.fna.gz,na
PMGT_PB,,Punica granatum,pomegranate,2n=,haploid,GCA_028584085.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_028584085.1/,Contig,PacBio Sequel,Canu v. 1.7,322702211,1102352,65,1637,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/584/085/GCA_028584085.1_PMGT_PB/GCA_028584085.1_PMGT_PB_genomic.fna.gz,36186044
ASM2384627v1,,Vanilla planifolia,cultivated vanilla,2n=,haploid,GCA_023846275.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023846275.1/,Chromosome,PacBio Sequel II,Hifiasm v. SEPTEMBER-2020,1378821457,1102861,192,4697,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/846/275/GCA_023846275.1_ASM2384627v1/GCA_023846275.1_ASM2384627v1_genomic.fna.gz,35617961
Sporobolus_maritimus_v1.0,,Sporobolus maritimus,NA,2n=,haploid,GCA_965119375.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965119375.1/,Scaffold,Genoscope  Institut Fran?ois Jacob  CEA  CNRS  Univ Evry  Universit? Paris-Saclay  Evry  91057  France,Genomescope (v2.0)  SMARTdenovo  Redbean wtdbg2 (v2.5)  Flye (v2.7)  Racon (v1.4.10)  Pilon (v1.24)   Bionano Genomics (BNG)  Bionano solve and tools (v1.3)  BisCoT (v2.0)   Hapo-G (v1.0)  BUSCO (v5.2.2)  minimap2 (v2.19),1562214011,1105421,419,2382,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/119/375/GCA_965119375.1_Sporobolus_maritimus_v1.0/GCA_965119375.1_Sporobolus_maritimus_v1.0_genomic.fna.gz,na
Sago_v3,,Metroxylon sagu,sago palm,2n=,haploid,GCA_017589505.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_017589505.3/,Scaffold,Oxford Nanopore; Illumina NovaSeq,NextDenovo v. JAN-2023; NextPolish v. JAN-2023; P_RNA_Scaffolder v. JAN-2023,472389277,1105447,128,897,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/589/505/GCA_017589505.3_Sago_v3/GCA_017589505.3_Sago_v3_genomic.fna.gz,35059482
ddDraVern1.hap2.1,,Draba verna,NA,2n=,haploid,GCA_964235265.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964235265.1/,Scaffold,PacBio Arima2,various,877501590,1105763,244,1428,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/235/265/GCA_964235265.1_ddDraVern1.hap2.1/GCA_964235265.1_ddDraVern1.hap2.1_genomic.fna.gz,na
ASM2020550v1,,Panax japonicus,Japanese ginseng,2n=,haploid,GCA_020205505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020205505.1/,Chromosome,PacBio,FALCON v. DEC-2019,2023522727,1106822,513,4096,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/205/505/GCA_020205505.1_ASM2020550v1/GCA_020205505.1_ASM2020550v1_genomic.fna.gz,na
UCDv1.0,,Coffea arabica,coffee,2n=,haploid,GCA_041438355.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041438355.1/,Chromosome,Illumina HiSeq; Oxford Nanopore; PacBio RSII,Canu v. 1.8; RaGOO v. 1.1; Racon v. 1.3.3,1025351156,1107762,234,2111,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/438/355/GCA_041438355.1_UCDv1.0/GCA_041438355.1_UCDv1.0_genomic.fna.gz,na
ASM2520937v1,,Picochlorum sp. BPE23,NA,2n=,alternate-pseudohaplotype,GCA_025209375.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025209375.1/,Contig,Illumina; PacBio,Flye v. 2.9-b1768,13436362,1109381,6,12,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/209/375/GCA_025209375.1_ASM2520937v1/GCA_025209375.1_ASM2520937v1_genomic.fna.gz,na
PHallii_v3.1,,Panicum hallii,NA,2n=,haploid,GCA_002211085.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002211085.2/,Chromosome,PACBIO SEQUEL; Illumina HISeq; MOLECULO,MECAT v. 33,528529049,1111465,117,1027,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/211/085/GCA_002211085.2_PHallii_v3.1/GCA_002211085.2_PHallii_v3.1_genomic.fna.gz,na
ASM1418299v2,,Solanum tuberosum,potato,2n=,haploid,GCA_014182995.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014182995.2/,Chromosome,PacBio Sequel II,Flye v. 2.7,739306080,1113038,202,1722,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/182/995/GCA_014182995.2_ASM1418299v2/GCA_014182995.2_ASM1418299v2_genomic.fna.gz,na
ASM2144215v1,,Cymbidium sinense,NA,2n=,haploid,GCA_021442155.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_021442155.1/,Chromosome,Nanopore GridION X5,NextDenovo v. 2.0,3525141540,1114153,742,8496,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/442/155/GCA_021442155.1_ASM2144215v1/GCA_021442155.1_ASM2144215v1_genomic.fna.gz,34342129
ASM1680105v1,,Panax notoginseng,san-qi,2n=,haploid,GCA_016801055.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_016801055.1/,Chromosome,PacBio,Canu v. APR-2020,2660147218,1118014,557,5523,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/801/055/GCA_016801055.1_ASM1680105v1/GCA_016801055.1_ASM1680105v1_genomic.fna.gz,33511345
ASM4686482v1,,Lolium multiflorum,Italian ryegrass,2n=,haploid,GCA_046864825.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046864825.1/,Chromosome,PacBio HiFi,Hifiasm v. 0.19.8-r603,2373435008,1118257,579,12642,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/864/825/GCA_046864825.1_ASM4686482v1/GCA_046864825.1_ASM4686482v1_genomic.fna.gz,na
ASM2320587v1,,Chloropicon primus,NA,2n=,haploid,GCA_023205875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023205875.1/,Complete Genome,Illumina MiSeq; Oxford Nanopore,SPAdes v. 3.13.0; Canu v. 1.8,17584162,1118318,6,20,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/205/875/GCA_023205875.1_ASM2320587v1/GCA_023205875.1_ASM2320587v1_genomic.fna.gz,na
AAC_Ahel_1.0.Aart_hap1,,Ambrosia x helenae,NA,2n=,haploid,GCA_030844885.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030844885.1/,Chromosome,Oxford Nanopore MinION; PacBio Sequel,CANU+HiC v. 2.2,1128714194,1119616,285,4697,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/844/885/GCA_030844885.1_AAC_Ahel_1.0.Aart_hap1/GCA_030844885.1_AAC_Ahel_1.0.Aart_hap1_genomic.fna.gz,na
brassica_incana.om,,Brassica incana,NA,2n=,haploid,GCA_945779075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_945779075.1/,Scaffold,Bionano saphyr,Bionano Solve,657518952,1121783,153,6437,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/945/779/075/GCA_945779075.1_brassica_incana.om/GCA_945779075.1_brassica_incana.om_genomic.fna.gz,na
LANLv1,,Picochlorum sp. BH-2019,NA,2n=,haploid,GCA_009650465.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009650465.1/,Contig,PacBio RSII,FALCON v. 0.2.2,14391424,1122049,6,29,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/650/465/GCA_009650465.1_LANLv1/GCA_009650465.1_LANLv1_genomic.fna.gz,31667362
cbStrStra4.1,,Straminergon stramineum,NA,2n=,haploid,GCA_963920665.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963920665.1/,Chromosome,PacBio Arima2,various,326150176,1122249,88,882,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/920/665/GCA_963920665.1_cbStrStra4.1/GCA_963920665.1_cbStrStra4.1_genomic.fna.gz,na
ASM1090972v1,,Picochlorum sp. 'celeri',NA,2n=,unresolved-diploid,GCA_010909725.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_010909725.1/,Scaffold,PacBio Sequel; Illumina HiSeq,FALCON-Unzip v. JUNE-2019,27429213,1125495,11,43,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/909/725/GCA_010909725.1_ASM1090972v1/GCA_010909725.1_ASM1090972v1_genomic.fna.gz,32409528
ASM2123415v1,,Isoetes taiwanensis,NA,2n=,haploid,GCA_021234155.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_021234155.1/,Scaffold,Oxford Nanopore GridION and Illumina NovaSeq6000,miniasm v. 0.3,1374965812,1127698,314,2918,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/234/155/GCA_021234155.1_ASM2123415v1/GCA_021234155.1_ASM2123415v1_genomic.fna.gz,na
Version 1,,Chloropicon roscoffensis,NA,2n=,haploid,GCA_038396805.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_038396805.1/,Complete Genome,PacBio Sequel; Illumina MiSeq,Falcon-Unzip v. May-2020,16820234,1128824,6,19,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/396/805/GCA_038396805.1_Version_1/GCA_038396805.1_Version_1_genomic.fna.gz,na
Dzin_1.0,,Dioscorea zingiberensis,NA,2n=,haploid,GCA_026586065.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_026586065.1/,Chromosome,Oxford Nanopore GridION,NextDenovo v. 2.3.0,629085035,1129197,103,1147,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/586/065/GCA_026586065.1_Dzin_1.0/GCA_026586065.1_Dzin_1.0_genomic.fna.gz,36204203
