Assembly name,version,Species name,Common name,Ploidy=Chr,haplotype,NCBI GenBank ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,Link (FTP),Publication (PUBMED ID)
ASM2540343v1,,Artocarpus heterophyllus,jackfruit,2n=,haploid,GCA_025403435.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025403435.1/,Chromosome,PacBio; Illumina HiSeq,FALCON v. v0.3.0,982839884,1029699,286,1633,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/403/435/GCA_025403435.1_ASM2540343v1/GCA_025403435.1_ASM2540343v1_genomic.fna.gz,NA
ASM2550650v1,,Flaveria sonorensis,NA,2n=,haploid,GCA_025506505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025506505.1/,Chromosome,PacBio; Illumina HiSeq,Canu v. 01-JAN-2020,1241894486,1035914,288,3833,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/506/505/GCA_025506505.1_ASM2550650v1/GCA_025506505.1_ASM2550650v1_genomic.fna.gz,32695130
csSphTene1.1,,Sphagnum tenellum,NA,2n=,haploid,GCA_963921925.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963921925.1/,Chromosome,PacBio Arima2,various,382671331,1037718,116,1018,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/921/925/GCA_963921925.1_csSphTene1.1/GCA_963921925.1_csSphTene1.1_genomic.fna.gz,NA
ASM343084v1,,Xanthoceras sorbifolium,yellow-horn,2n=,haploid,GCA_003430845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003430845.1/,Chromosome,PacBio Sequel,FALCON v. JULY-2018,504309262,1044891,131,3035,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/430/845/GCA_003430845.1_ASM343084v1/GCA_003430845.1_ASM343084v1_genomic.fna.gz,NA
ASM4686236v1,,Cynodon dactylon,Bermuda grass,2n=,haploid,GCA_046862365.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046862365.1/,Chromosome,PacBio,FALCON v. 2.0,865952429,1050894,212,2402,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/862/365/GCA_046862365.1_ASM4686236v1/GCA_046862365.1_ASM4686236v1_genomic.fna.gz,NA
MenthaSuaveolens85_v8,,Mentha suaveolens,applemint,2n=,haploid,GCA_041501505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041501505.1/,Chromosome,PacBio,FALCON v. JUN-2016,526267250,1062401,124,1186,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/501/505/GCA_041501505.1_MenthaSuaveolens85_v8/GCA_041501505.1_MenthaSuaveolens85_v8_genomic.fna.gz,NA
ASM3693790v1,,Salvia rosmarinus,rosemary,2n=,haploid,GCA_036937905.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036937905.1/,Chromosome,Oxford Nanopore,hifiasm v. 0.12,1197602298,1067774,315,2149,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/937/905/GCA_036937905.1_ASM3693790v1/GCA_036937905.1_ASM3693790v1_genomic.fna.gz,38363812
ASM4323785v1,,Forsythia ovata,Korean forsythia,2n=,haploid,GCA_043237855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043237855.1/,Chromosome,Illumina NovaSeq; PacBio Sequel; Illumina HiSeq,FALCON v. 2.1.4,1108376499,1077681,323,1635,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/237/855/GCA_043237855.1_ASM4323785v1/GCA_043237855.1_ASM4323785v1_genomic.fna.gz,NA
UCONN_Acsa_1.0,,Acer saccharum,sugar maple,2n=,haploid,GCA_030490815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030490815.1/,Chromosome,PacBio Sequel,FALCON-Unzip v. pb-assembly v0.0.6,625942429,1081516,165,1413,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/490/815/GCA_030490815.1_UCONN_Acsa_1.0/GCA_030490815.1_UCONN_Acsa_1.0_genomic.fna.gz,34967059
cbRhyTene4.1,,Rhynchostegiella tenella,NA,2n=,haploid,GCA_964340665.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964340665.1/,Chromosome,PacBio Arima2,various,316982184,1085708,89,495,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/340/665/GCA_964340665.1_cbRhyTene4.1/GCA_964340665.1_cbRhyTene4.1_genomic.fna.gz,NA
ASM2550651v1,,Flaveria trinervia,NA,2n=,haploid,GCA_025506515.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025506515.1/,Chromosome,PacBio; Illumina HiSeq,Canu v. 01-JAN-2020,1802989855,1095966,460,3650,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/506/515/GCA_025506515.1_ASM2550651v1/GCA_025506515.1_ASM2550651v1_genomic.fna.gz,32695130
Genome assembly of Haberlea rhodopensis,,Haberlea rhodopensis,NA,2n=,haploid,GCA_907163345.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_907163345.1/,Scaffold,Pacbio Sequel,CANU+SALSA,1269374720,1096407,324,4167,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/907/163/345/GCA_907163345.1_Genome_assembly_of_Haberlea_rhodopensis/GCA_907163345.1_Genome_assembly_of_Haberlea_rhodopensis_genomic.fna.gz,NA
drGerRotu1.1,,Geranium rotundifolium,NA,2n=,haploid,GCA_963920655.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963920655.1/,Chromosome,PacBio Arima2,various,496856260,1100351,133,1194,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/920/655/GCA_963920655.1_drGerRotu1.1/GCA_963920655.1_drGerRotu1.1_genomic.fna.gz,NA
ASM2384627v1,,Vanilla planifolia,cultivated vanilla,2n=,haploid,GCA_023846275.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023846275.1/,Chromosome,PacBio Sequel II,Hifiasm v. SEPTEMBER-2020,1378821457,1102861,192,4697,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/846/275/GCA_023846275.1_ASM2384627v1/GCA_023846275.1_ASM2384627v1_genomic.fna.gz,35617961
Sporobolus_maritimus_v1.0,,Sporobolus maritimus,NA,2n=,haploid,GCA_965119375.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965119375.1/,Scaffold,Genoscope  Institut Fran?ois Jacob  CEA  CNRS  Univ Evry  Universit? Paris-Saclay  Evry  91057  France,Genomescope (v2.0)  SMARTdenovo  Redbean wtdbg2 (v2.5)  Flye (v2.7)  Racon (v1.4.10)  Pilon (v1.24)   Bionano Genomics (BNG)  Bionano solve and tools (v1.3)  BisCoT (v2.0)   Hapo-G (v1.0)  BUSCO (v5.2.2)  minimap2 (v2.19),1562214011,1105421,419,2382,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/119/375/GCA_965119375.1_Sporobolus_maritimus_v1.0/GCA_965119375.1_Sporobolus_maritimus_v1.0_genomic.fna.gz,NA
Sago_v3,,Metroxylon sagu,sago palm,2n=,haploid,GCA_017589505.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_017589505.3/,Scaffold,Oxford Nanopore; Illumina NovaSeq,NextDenovo v. JAN-2023; NextPolish v. JAN-2023; P_RNA_Scaffolder v. JAN-2023,472389277,1105447,128,897,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/589/505/GCA_017589505.3_Sago_v3/GCA_017589505.3_Sago_v3_genomic.fna.gz,35059482
ddDraVern1.hap2.1,,Draba verna,NA,2n=,haploid,GCA_964235265.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964235265.1/,Scaffold,PacBio Arima2,various,877501590,1105763,244,1428,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/235/265/GCA_964235265.1_ddDraVern1.hap2.1/GCA_964235265.1_ddDraVern1.hap2.1_genomic.fna.gz,NA
ASM2020550v1,,Panax japonicus,Japanese ginseng,2n=,haploid,GCA_020205505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020205505.1/,Chromosome,PacBio,FALCON v. DEC-2019,2023522727,1106822,513,4096,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/205/505/GCA_020205505.1_ASM2020550v1/GCA_020205505.1_ASM2020550v1_genomic.fna.gz,NA
PHallii_v3.1,,Panicum hallii,NA,2n=,haploid,GCA_002211085.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002211085.2/,Chromosome,PACBIO SEQUEL; Illumina HISeq; MOLECULO,MECAT v. 33,528529049,1111465,117,1027,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/211/085/GCA_002211085.2_PHallii_v3.1/GCA_002211085.2_PHallii_v3.1_genomic.fna.gz,NA
ASM2144215v1,,Cymbidium sinense,NA,2n=,haploid,GCA_021442155.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_021442155.1/,Chromosome,Nanopore GridION X5,NextDenovo v. 2.0,3525141540,1114153,742,8496,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/442/155/GCA_021442155.1_ASM2144215v1/GCA_021442155.1_ASM2144215v1_genomic.fna.gz,34342129
ASM1680105v1,,Panax notoginseng,san-qi,2n=,haploid,GCA_016801055.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_016801055.1/,Chromosome,PacBio,Canu v. APR-2020,2660147218,1118014,557,5523,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/801/055/GCA_016801055.1_ASM1680105v1/GCA_016801055.1_ASM1680105v1_genomic.fna.gz,33511345
ASM2320587v1,,Chloropicon primus,NA,2n=,haploid,GCA_023205875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023205875.1/,Complete Genome,Illumina MiSeq; Oxford Nanopore,SPAdes v. 3.13.0; Canu v. 1.8,17584162,1118318,6,20,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/205/875/GCA_023205875.1_ASM2320587v1/GCA_023205875.1_ASM2320587v1_genomic.fna.gz,NA
brassica_incana.om,,Brassica incana,NA,2n=,haploid,GCA_945779075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_945779075.1/,Scaffold,Bionano saphyr,Bionano Solve,657518952,1121783,153,6437,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/945/779/075/GCA_945779075.1_brassica_incana.om/GCA_945779075.1_brassica_incana.om_genomic.fna.gz,NA
LANLv1,,Picochlorum sp. BH-2019,NA,2n=,haploid,GCA_009650465.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009650465.1/,Contig,PacBio RSII,FALCON v. 0.2.2,14391424,1122049,6,29,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/650/465/GCA_009650465.1_LANLv1/GCA_009650465.1_LANLv1_genomic.fna.gz,31667362
cbStrStra4.1,,Straminergon stramineum,NA,2n=,haploid,GCA_963920665.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963920665.1/,Chromosome,PacBio Arima2,various,326150176,1122249,88,882,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/920/665/GCA_963920665.1_cbStrStra4.1/GCA_963920665.1_cbStrStra4.1_genomic.fna.gz,NA
ASM1090972v1,,Picochlorum sp. 'celeri',NA,2n=,unresolved-diploid,GCA_010909725.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_010909725.1/,Scaffold,PacBio Sequel; Illumina HiSeq,FALCON-Unzip v. JUNE-2019,27429213,1125495,11,43,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/909/725/GCA_010909725.1_ASM1090972v1/GCA_010909725.1_ASM1090972v1_genomic.fna.gz,32409528
ASM2123415v1,,Isoetes taiwanensis,NA,2n=,haploid,GCA_021234155.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_021234155.1/,Scaffold,Oxford Nanopore GridION and Illumina NovaSeq6000,miniasm v. 0.3,1374965812,1127698,314,2918,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/234/155/GCA_021234155.1_ASM2123415v1/GCA_021234155.1_ASM2123415v1_genomic.fna.gz,NA
Version 1,,Chloropicon roscoffensis,NA,2n=,haploid,GCA_038396805.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_038396805.1/,Complete Genome,PacBio Sequel; Illumina MiSeq,Falcon-Unzip v. May-2020,16820234,1128824,6,19,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/396/805/GCA_038396805.1_Version_1/GCA_038396805.1_Version_1_genomic.fna.gz,NA
Dzin_1.0,,Dioscorea zingiberensis,NA,2n=,haploid,GCA_026586065.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_026586065.1/,Chromosome,Oxford Nanopore GridION,NextDenovo v. 2.3.0,629085035,1129197,103,1147,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/586/065/GCA_026586065.1_Dzin_1.0/GCA_026586065.1_Dzin_1.0_genomic.fna.gz,36204203
ASM3044907v1,,Murraya paniculata,NA,2n=,haploid,GCA_030449075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030449075.1/,Scaffold,PacBio,FALCON v. 0.3.0,217300155,1129329,57,478,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/449/075/GCA_030449075.1_ASM3044907v1/GCA_030449075.1_ASM3044907v1_genomic.fna.gz,NA
RCC685,,Bathycoccus prasinos,NA,2n=,haploid,GCA_964187115.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964187115.1/,Chromosome,MinION,FLYE RACON RAGOO,27501445,1130283,7,36,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/187/115/GCA_964187115.1_RCC685/GCA_964187115.1_RCC685_genomic.fna.gz,NA
cjHerHutc3.1,,Herbertus hutchinsiae,NA,2n=,haploid,GCA_965112325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965112325.1/,Chromosome,PacBio Arima2,various,1091588123,1140822,287,1682,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/112/325/GCA_965112325.1_cjHerHutc3.1/GCA_965112325.1_cjHerHutc3.1_genomic.fna.gz,NA
AAC_Ahel_1.0.Atri_hap2,,Ambrosia x helenae,NA,2n=,haploid,GCA_030844895.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030844895.1/,Chromosome,PacBio Sequel; Oxford Nanopore MinION,CANU+HiC v. 2.2,2027427927,1149173,490,9410,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/844/895/GCA_030844895.1_AAC_Ahel_1.0.Atri_hap2/GCA_030844895.1_AAC_Ahel_1.0.Atri_hap2_genomic.fna.gz,NA
COB_r1.0,,Chamaecyparis obtusa,NA,2n=,haploid,GCA_027943335.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_027943335.1/,Contig,PacBio SequelII,Hifiasm v. 0.13,8513066914,1153237,2093,15466,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/943/335/GCA_027943335.1_COB_r1.0/GCA_027943335.1_COB_r1.0_genomic.fna.gz,NA
ASM4686479v1,,Lolium multiflorum,Italian ryegrass,2n=,haploid,GCA_046864795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046864795.1/,Chromosome,PacBio HiFi,Hifiasm v. 0.19.8-r603,2395793803,1160836,577,13772,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/864/795/GCA_046864795.1_ASM4686479v1/GCA_046864795.1_ASM4686479v1_genomic.fna.gz,NA
ddDraInca1.1,,Draba incana,NA,2n=,haploid,GCA_963576765.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963576765.1/,Chromosome,PacBio Arima2,various,667611551,1164499,174,1637,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/576/765/GCA_963576765.1_ddDraInca1.1/GCA_963576765.1_ddDraInca1.1_genomic.fna.gz,NA
CNU_Tlep_v3.1,,Takakia lepidozioides,NA,2n=,haploid,GCA_030704615.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030704615.1/,Chromosome,PacBio; Illumina,Canu v. 2.0; 3D-DNA v. 20190716; Juicer v. 1.6,324985294,1165551,89,974,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/704/615/GCA_030704615.1_CNU_Tlep_v3.1/GCA_030704615.1_CNU_Tlep_v3.1_genomic.fna.gz,NA
ASM207613v1,,Xerophyta viscosa,NA,2n=,haploid,GCA_002076135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002076135.1/,Scaffold,PacBio,FALCON v. JAN-2016,293631467,1168296,69,1781,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/076/135/GCA_002076135.1_ASM207613v1/GCA_002076135.1_ASM207613v1_genomic.fna.gz,28346448
CUHK_Hcor_1,,Houttuynia cordata,chameleon-plant,2n=,haploid,GCA_039654745.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_039654745.1/,Chromosome,PacBio SequelIe; Illumina HiSeq,hifiasm v. 0.19.8; yahs v. 1.2a.2,499496886,1169330,141,719,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/654/745/GCA_039654745.1_CUHK_Hcor_1/GCA_039654745.1_CUHK_Hcor_1_genomic.fna.gz,NA
UVic_VacVit_1,,Vaccinium vitis-idaea,cowberry,2n=,haploid,GCA_034642295.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034642295.1/,Contig,Oxford Nanopore MinION; Illumina NovaSeq,SmartDenovo v. 1.4.0,547919928,1169789,150,755,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/295/GCA_034642295.1_UVic_VacVit_1/GCA_034642295.1_UVic_VacVit_1_genomic.fna.gz,38142435
dmAquVulg1.hap2.1,,Aquilegia vulgaris,NA,2n=,haploid,GCA_964291825.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964291825.1/,Chromosome,PacBio Arima2,various,289149314,1171413,75,854,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/291/825/GCA_964291825.1_dmAquVulg1.hap2.1/GCA_964291825.1_dmAquVulg1.hap2.1_genomic.fna.gz,NA
ASM1835013v1,,Citrus trifoliata,hardy orange,2n=,haploid,GCA_018350135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_018350135.1/,Chromosome,PacBio Sequel,FALCON v. MAY-2017,303044755,1174493,64,707,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/350/135/GCA_018350135.1_ASM1835013v1/GCA_018350135.1_ASM1835013v1_genomic.fna.gz,33790260
ASM1057779v1,,Isatis tinctoria,woad,2n=,haploid,GCA_010577795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_010577795.1/,Chromosome,PacBio Sequel,Canu v. 1.6; wtdbg v. 1; Quickmerge v. 0.2,293826581,1176212,56,1198,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/577/795/GCA_010577795.1_ASM1057779v1/GCA_010577795.1_ASM1057779v1_genomic.fna.gz,32025321
ASM2146441v1,,Lonicera japonica,Japanese honeysuckle,2n=,haploid,GCA_021464415.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_021464415.1/,Chromosome,PacBio Sequel,SAMRTdenovo v. FEB-2020,886040423,1177230,156,1881,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/464/415/GCA_021464415.1_ASM2146441v1/GCA_021464415.1_ASM2146441v1_genomic.fna.gz,NA
ASM2546112v1,,Carex kokanica,NA,2n=,haploid,GCA_025461125.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025461125.1/,Contig,PacBio Sequel,FALCON v. 0.7,673403748,1179729,178,1504,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/461/125/GCA_025461125.1_ASM2546112v1/GCA_025461125.1_ASM2546112v1_genomic.fna.gz,35322069
UWA_Hpros_1,,Hakea prostrata,NA,2n=,haploid,GCA_041222555.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041222555.1/,Chromosome,Oxford Nanopore PromethION; Illumina XTen,NECAT v. 0.0.1,710572321,1180705,132,1003,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/222/555/GCA_041222555.1_UWA_Hpros_1/GCA_041222555.1_UWA_Hpros_1_genomic.fna.gz,NA
ASM523922v2,,Populus alba,white poplar,2n=,haploid,GCA_005239225.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_005239225.2/,Chromosome,Illumina,HiC-Pro v. 2.9.0,415804670,1180906,101,1279,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/239/225/GCA_005239225.2_ASM523922v2/GCA_005239225.2_ASM523922v2_genomic.fna.gz,39636669
ASM2298504v1,,Macadamia tetraphylla,poppel nut,2n=,haploid,GCA_022985045.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022985045.1/,Chromosome,Oxford Nanopore,WTDBG v. 2.2,750539052,1182547,163,4335,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/985/045/GCA_022985045.1_ASM2298504v1/GCA_022985045.1_ASM2298504v1_genomic.fna.gz,35281801
ASM2255984v1,,Amorphophallus konjac,konnyaku,2n=,haploid,GCA_022559845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022559845.1/,Chromosome,PacBio Sequel,FALCON v. 3.0,5598080859,1197616,1354,8425,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/559/845/GCA_022559845.1_ASM2255984v1/GCA_022559845.1_ASM2255984v1_genomic.fna.gz,NA
XYYC_v1.0,,Camellia lanceoleosa,NA,2n=,haploid,GCA_025200525.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025200525.1/,Chromosome,Oxford Nanopore PromethION,NextDenovo v. 2.2,2999062798,1200000,644,3739,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/200/525/GCA_025200525.1_XYYC_v1.0/GCA_025200525.1_XYYC_v1.0_genomic.fna.gz,35306701
UNAM_Csor_1.0,,Cucurbita argyrosperma subsp. sororia,NA,2n=,haploid,GCA_018691285.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_018691285.1/,Chromosome,Illumina HiSeq4000; PacBio Sequel,Platanus v. 1.2.4; DBG2OLC v. 1.0; minimap v. 2; racon v. 1.4.3; Pilon v. 1.21; RaGOO v. 1.1,252816759,1205533,60,956,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/691/285/GCA_018691285.1_UNAM_Csor_1.0/GCA_018691285.1_UNAM_Csor_1.0_genomic.fna.gz,33931618
lpEleQuin1.1,,Eleocharis quinqueflora,fewflower spikerush,2n=,haploid,GCA_964058905.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964058905.1/,Chromosome,PacBio Arima2,various,496937680,1205812,127,697,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/058/905/GCA_964058905.1_lpEleQuin1.1/GCA_964058905.1_lpEleQuin1.1_genomic.fna.gz,NA
