Assembly name,version,Species,Common name,Ploidy=Chr,haplotype,ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,genus,family,order,class,phylum,group name,Link (FTP),Publication (PUBMED ID),Busco_cutoff
Vangularis_v1,nan,Vigna angularis var. angularis,nan,2n=,haploid,GCA_004320505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_004320505.1/,Chromosome,PacBio RSII; Illumina HiSeq2500,sprai-0.9.5.1.3; Celera Assembler v. 8.2beta,513383440,1575115,85,2920,nan,Vigna,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/505/GCA_004320505.1_Vangularis_v1/GCA_004320505.1_Vangularis_v1_genomic.fna.gz,26616024,False
IEDA_Sros_1.0,nan,Solanum rostratum,nan,2n=,haploid,GCA_029948455.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_029948455.1/,Chromosome,PacBio Sequel,Hifiasm v. 0.16.0,898344072,46708969,7,311,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/948/455/GCA_029948455.1_IEDA_Sros_1.0/GCA_029948455.1_IEDA_Sros_1.0_genomic.fna.gz,na,False
daPenNewb1.0.hap2,nan,Penstemon newberryi var. newberryi,nan,2n=,haploid,GCA_030819805.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030819805.1/,Scaffold,PacBio Sequel IIe; Dovetail OmniC; Illumina NovaSeq 6000,HiFiasm v. 0.16.1-r375; SALSA v. 2; Rapid Curation v. https://gitlab.com/wtsi-grit/rapid-curation (commit 4ddca450),412702476,34688097,5,465,nan,Penstemon,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/819/805/GCA_030819805.1_daPenNewb1.0.hap2/GCA_030819805.1_daPenNewb1.0.hap2_genomic.fna.gz,na,False
ASM1405810v1,nan,Kingdonia uniflora,nan,2n=,haploid,GCA_014058105.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014058105.1/,Contig,PacBio Sequel,Canu v. 1.8,1004558319,2099369,127,2901,nan,Kingdonia,Circaeasteraceae,Ranunculales,Magnoliopsida,Streptophyta,flowering plants,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/058/105/GCA_014058105.1_ASM1405810v1/GCA_014058105.1_ASM1405810v1_genomic.fna.gz,32428861,False
ASM2978341v1,nan,Anisodus acutangulus,nan,2n=,haploid,GCA_029783415.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_029783415.1/,Chromosome,Oxford Nanopore PromethION; Hi-C,SMARTdenovo v. Jan-2021,1260427823,1351817,282,1884,nan,Anisodus,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/783/415/GCA_029783415.1_ASM2978341v1/GCA_029783415.1_ASM2978341v1_genomic.fna.gz,na,False
ASM2984421v1,nan,Przewalskia tangutica,nan,2n=,haploid,GCA_029844215.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_029844215.1/,Chromosome,Oxford Nanopore,NextDenovo v. 2.0-beta.1,3028353625,17035176,50,1622,nan,Przewalskia,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/844/215/GCA_029844215.1_ASM2984421v1/GCA_029844215.1_ASM2984421v1_genomic.fna.gz,37014116,False
daCalOffi1.1,nan,Calendula officinalis,common marigold,2n=,haploid,GCA_963853835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963853835.1/,Chromosome,PacBio Arima2,various,1215113628,6396392,55,472,nan,Calendula,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/853/835/GCA_963853835.1_daCalOffi1.1/GCA_963853835.1_daCalOffi1.1_genomic.fna.gz,na,False
ASM3123461v1,nan,Capsicum annuum,nan,2n=,haploid,GCA_031234615.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031234615.1/,Complete Genome,PacBio Sequel; Oxford Nanopore PromethION; Illumina NovaSeq,Hifiasm v. 0.16.1; NextDenovo v. 2.5.0,3103116129,262573928,6,12,nan,Capsicum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/234/615/GCA_031234615.1_ASM3123461v1/GCA_031234615.1_ASM3123461v1_genomic.fna.gz,na,False
ASM1179987v1,nan,Thinopyrum elongatum,tall wheatgrass,2n=,haploid,GCA_011799875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011799875.1/,Chromosome,Illumina HiSeq; PacBio Sequel,NRGene DeNovoMAGICTM v. 3.0,4581243208,2152584,596,12292,nan,Thinopyrum,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/799/875/GCA_011799875.1_ASM1179987v1/GCA_011799875.1_ASM1179987v1_genomic.fna.gz,32273397,False
ASM3086422v1,nan,Capsicum baccatum var. pendulum,piment chien,2n=,haploid,GCA_030864225.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030864225.1/,Chromosome,PacBio,Canu v. 2.0,3309472342,27703761,35,1758,nan,Capsicum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/864/225/GCA_030864225.1_ASM3086422v1/GCA_030864225.1_ASM3086422v1_genomic.fna.gz,na,False
ASM3123210v1,nan,Capsicum rhomboideum,nan,2n=,haploid,GCA_031232105.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031232105.1/,Complete Genome,PacBio Sequel; Oxford Nanopore PromethION; Illumina NovaSeq,Hifiasm v. 0.16.1; NextDenovo v. 2.5.0,1707653203,145987823,6,13,nan,Capsicum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/232/105/GCA_031232105.1_ASM3123210v1/GCA_031232105.1_ASM3123210v1_genomic.fna.gz,na,False
ASM3123040v1,nan,Solanum verrucosum,nan,2n=,haploid,GCA_031230405.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031230405.1/,Chromosome,PacBio Sequel IIe; Illumina NovaSeq,Hifiasm v. 0.15.5-r350; juicer v. 1.6,683650743,8347000,21,665,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/230/405/GCA_031230405.1_ASM3123040v1/GCA_031230405.1_ASM3123040v1_genomic.fna.gz,na,False
CATAS_Mindica_2.1,nan,Mangifera indica,mango,2n=,haploid,GCA_011075055.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011075055.1/,Chromosome,Pacbio Sequel II,Canu v. 1.8,391878804,3579047,35,419,nan,Mangifera,Anacardiaceae,Sapindales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/075/055/GCA_011075055.1_CATAS_Mindica_2.1/GCA_011075055.1_CATAS_Mindica_2.1_genomic.fna.gz,32143734,False
Avena_eriantha_BYU132_v1_assembly,nan,Avena eriantha,nan,2n=,haploid,GCA_910589775.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_910589775.1/,Chromosome,nan,nan,3774564081,1314218,838,8228,nan,Avena,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/589/775/GCA_910589775.1_Avena_eriantha_BYU132_v1_assembly/GCA_910589775.1_Avena_eriantha_BYU132_v1_assembly_genomic.fna.gz,na,False
Avena_atlantica_CC7277_v1_assembly,nan,Avena atlantica,nan,2n=,haploid,GCA_910589765.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_910589765.1/,Chromosome,nan,nan,3683804291,4310367,245,4275,nan,Avena,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/589/765/GCA_910589765.1_Avena_atlantica_CC7277_v1_assembly/GCA_910589765.1_Avena_atlantica_CC7277_v1_assembly_genomic.fna.gz,na,False
TalH_r1.0,nan,Trifolium alexandrinum,nan,2n=,haploid,GCA_043005315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043005315.1/,Scaffold,PacBio Sequel II,hifiasm v. 0.19.5,547551778,14593844,13,514,nan,Trifolium,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/005/315/GCA_043005315.1_TalH_r1.0/GCA_043005315.1_TalH_r1.0_genomic.fna.gz,na,False
CGN18024_1v5_2,nan,Solanum commersonii,Commerson's wild potato,2n=,haploid,GCA_029007595.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_029007595.1/,Scaffold,Oxford Nanopore GridION; DNBseq,smartdenovo v. 2019,740756063,4039646,52,640,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/007/595/GCA_029007595.1_CGN18024_1v5_2/GCA_029007595.1_CGN18024_1v5_2_genomic.fna.gz,na,False
daSolNigr1.hap1.1,nan,Solanum nigrum,black nightshade,2n=,haploid,GCA_964243065.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964243065.1/,Chromosome,PacBio Arima2,various,2974898358,9514797,90,940,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/243/065/GCA_964243065.1_daSolNigr1.hap1.1/GCA_964243065.1_daSolNigr1.hap1.1_genomic.fna.gz,na,False
Capsicum_annuum_HDA330v1.0,nan,Capsicum annuum var. annuum,pimento,2n=,haploid,GCA_033026575.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033026575.1/,Chromosome,PacBio Sequel IIe,Hifiasm v. 0.16.1-r375,3088230427,228563968,7,106,nan,Capsicum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/026/575/GCA_033026575.1_Capsicum_annuum_HDA330v1.0/GCA_033026575.1_Capsicum_annuum_HDA330v1.0_genomic.fna.gz,na,False
ASM4147542v1,nan,Hypericum perforatum subsp. chinense,nan,2n=,unresolved-diploid,GCA_041475425.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041475425.1/,Chromosome,Illumina NovaSeq; PacBio; Illumina HiSeq,Hifiasm v. JAN-2023,1541136196,8848855,49,3996,nan,Hypericum,Hypericaceae,Malpighiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/475/425/GCA_041475425.1_ASM4147542v1/GCA_041475425.1_ASM4147542v1_genomic.fna.gz,na,False
Boerner_haplotype_BoeCin,nan,Vitis riparia x Vitis cinerea,nan,2n=,haploid,GCA_940586395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_940586395.1/,Scaffold,nan,nan,501384891,4455034,34,822,nan,Vitis,Vitaceae,Vitales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/940/586/395/GCA_940586395.1_Boerner_haplotype_BoeCin/GCA_940586395.1_Boerner_haplotype_BoeCin_genomic.fna.gz,na,False
daMatDisc1.hap2.1,nan,Matricaria discoidea,pineapple weed,2n=,haploid,GCA_964276695.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964276695.1/,Scaffold,PacBio Arima2,various,2094801278,7550432,87,620,nan,Matricaria,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/276/695/GCA_964276695.1_daMatDisc1.hap2.1/GCA_964276695.1_daMatDisc1.hap2.1_genomic.fna.gz,na,False
ASM2774278v1,nan,Vigna reflexopilosa,nan,2n=,haploid,GCA_027742785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_027742785.1/,Chromosome,PacBio Sequel,CANU v. 1.9,985865265,1742536,171,3889,nan,Vigna,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/742/785/GCA_027742785.1_ASM2774278v1/GCA_027742785.1_ASM2774278v1_genomic.fna.gz,na,False
ASM3323972v1,nan,Echinochloa phyllopogon,nan,2n=,haploid,GCA_033239725.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033239725.1/,Scaffold,PacBio Sequel IIe,hifiasm v. 0.16.1,1002676961,45224446,9,827,nan,Echinochloa,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/239/725/GCA_033239725.1_ASM3323972v1/GCA_033239725.1_ASM3323972v1_genomic.fna.gz,na,False
drTriStri1.hap1.1,nan,Trifolium striatum,nan,2n=,haploid,GCA_964059935.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964059935.1/,Chromosome,PacBio Arima2,various,372121512,2686173,47,285,nan,Trifolium,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/059/935/GCA_964059935.1_drTriStri1.hap1.1/GCA_964059935.1_drTriStri1.hap1.1_genomic.fna.gz,na,False
ddHypHirs1.hap1.1,nan,Hypericum hirsutum,nan,2n=,haploid,GCA_964106675.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964106675.1/,Chromosome,PacBio Arima2,various,338072656,3008396,34,296,nan,Hypericum,Hypericaceae,Malpighiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/106/675/GCA_964106675.1_ddHypHirs1.hap1.1/GCA_964106675.1_ddHypHirs1.hap1.1_genomic.fna.gz,na,False
ddHypPulc1.hap1.1,nan,Hypericum pulchrum,nan,2n=,haploid,GCA_964106755.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964106755.1/,Chromosome,PacBio Arima2,various,373099041,3499187,35,538,nan,Hypericum,Hypericaceae,Malpighiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/106/755/GCA_964106755.1_ddHypPulc1.hap1.1/GCA_964106755.1_ddHypPulc1.hap1.1_genomic.fna.gz,na,False
UNAM_Cfic_1.0,nan,Cucurbita ficifolia,figleaf gourd,2n=,haploid,GCA_033971965.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033971965.1/,Chromosome,Illumina HiSeq; PacBio Sequel,Platanus v. 1.2.4; DBG2OLC v. 1.0; minimap v. 2; racon v. 1.4.3; Pilon v. 1.21; RaGOO v. 1.1,240586616,2670869,27,638,nan,Cucurbita,Cucurbitaceae,Cucurbitales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/971/965/GCA_033971965.1_UNAM_Cfic_1.0/GCA_033971965.1_UNAM_Cfic_1.0_genomic.fna.gz,na,False
drHydVulg1.hap2.1,nan,Hydrocotyle vulgaris,nan,2n=,haploid,GCA_964107055.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964107055.1/,Scaffold,PacBio Arima2,various,862803931,5496645,46,521,nan,Hydrocotyle,Araliaceae,Apiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/107/055/GCA_964107055.1_drHydVulg1.hap2.1/GCA_964107055.1_drHydVulg1.hap2.1_genomic.fna.gz,na,False
drAilAlti1.1,nan,Ailanthus altissimus,stinking sumac,2n=,haploid,GCA_946807835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_946807835.1/,Chromosome,PacBio Illumina Arima2,various,938393475,29331030,15,47,nan,Ailanthus,Simaroubaceae,Sapindales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/807/835/GCA_946807835.1_drAilAlti1.1/GCA_946807835.1_drAilAlti1.1_genomic.fna.gz,na,False
ASM4095487v1,nan,Beckmannia syzigachne,nan,2n=,haploid,GCA_040954875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040954875.1/,Chromosome,PacBio RSII,Hifiasm v. 1.0,3191659029,64242125,11,4308,nan,Beckmannia,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/954/875/GCA_040954875.1_ASM4095487v1/GCA_040954875.1_ASM4095487v1_genomic.fna.gz,na,False
ASM3450975v1,nan,Anisodus tanguticus,nan,2n=,haploid,GCA_034509755.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034509755.1/,Chromosome,Illumina NovaSeq; Oxford Nanopore PromethION,SOAPdenovo v. 1.0,1262533339,25065403,20,292,nan,Anisodus,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/755/GCA_034509755.1_ASM3450975v1/GCA_034509755.1_ASM3450975v1_genomic.fna.gz,na,False
ASM3557808v1,nan,Solanum pinnatisectum,tansyleaf nightshade,2n=,haploid,GCA_035578085.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_035578085.1/,Chromosome,Oxford Nanopore PromethION,NextDenovo v. 2.5.2,664115551,9057158,20,339,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/578/085/GCA_035578085.1_ASM3557808v1/GCA_035578085.1_ASM3557808v1_genomic.fna.gz,na,False
ASM2517757v1,nan,Pueraria montana,nan,2n=,haploid,GCA_025177575.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025177575.1/,Chromosome,PacBio Sequel; BGIseq,NextDenovo v. 2.4.0,977967490,1610309,122,1770,nan,Pueraria,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/177/575/GCA_025177575.1_ASM2517757v1/GCA_025177575.1_ASM2517757v1_genomic.fna.gz,35961033,False
lpPolViri1.hap2.1,nan,Polypogon viridis,water bent grass,2n=,haploid,GCA_964234865.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964234865.1/,Scaffold,PacBio Arima2,various,2840234297,69603968,13,303,nan,Polypogon,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/234/865/GCA_964234865.1_lpPolViri1.hap2.1/GCA_964234865.1_lpPolViri1.hap2.1_genomic.fna.gz,na,False
ASM4025681v2,nan,Triticum aestivum,bread wheat,2n=,haploid,GCA_040256815.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040256815.2/,Complete Genome,Illumina NovaSeq; PacBio; Oxford Nanopore PromethION; DNBSEQ-T7,hifiasm v. 0.19.5,14509208007,723777933,10,21,nan,Triticum,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/256/815/GCA_040256815.2_ASM4025681v2/GCA_040256815.2_ASM4025681v2_genomic.fna.gz,na,False
ASM1909614v1,nan,Vigna mungo var. mungo,nan,2n=,haploid,GCA_019096145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_019096145.1/,Scaffold,Illumina HiSeq; Oxford Nanopore GridION,MaSuRCA v. 3.3.4,475447759,1378627,105,1080,nan,Vigna,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/096/145/GCA_019096145.1_ASM1909614v1/GCA_019096145.1_ASM1909614v1_genomic.fna.gz,34045617,False
ASM3049083v1,nan,Annona cherimola,cherimoya,2n=,haploid,GCA_030490835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030490835.1/,Chromosome,PacBio Hifi; Omni-C,hifiasm v. 0.16.1-r375,793994863,3844328,58,1664,nan,Annona,Annonaceae,Magnoliales,Magnoliopsida,Streptophyta,flowering plants,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/490/835/GCA_030490835.1_ASM3049083v1/GCA_030490835.1_ASM3049083v1_genomic.fna.gz,na,False
dhFagSylv1.hap1.1,nan,Fagus sylvatica,European beech,2n=,haploid,GCA_964211995.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964211995.1/,Chromosome,PacBio Arima2,various,484128189,2707873,56,444,nan,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/211/995/GCA_964211995.1_dhFagSylv1.hap1.1/GCA_964211995.1_dhFagSylv1.hap1.1_genomic.fna.gz,na,False
ASM3693692v1,nan,Cenchrus fungigraminus,nan,2n=,haploid,GCA_036936925.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036936925.1/,Chromosome,PacBio,Hifiasm v. 0.16.1-r375,1982126067,134074806,7,109,nan,Cenchrus,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/936/925/GCA_036936925.1_ASM3693692v1/GCA_036936925.1_ASM3693692v1_genomic.fna.gz,37271992,False
